,Quarter,Time,Tm,Detail,SFO,PHI
0,1.0,4:08,Eagles,Clay Harbor 16 yard pass from Michael Vick (Alex Henery kick),0,7
1,2.0,14:22,49ers,David Akers 37 yard field goal,3,7
2,2.0,12:08,Eagles,Alex Henery 32 yard field goal,3,10
3,2.0,1:52,Eagles,Alex Henery 32 yard field goal,3,13
4,2.0,0:38,Eagles,LeSean McCoy 5 yard pass from Michael Vick (Alex Henery kick),3,20
5,3.0,9:30,Eagles,Alex Henery 33 yard field goal,3,23
6,3.0,7:20,49ers,Josh Morgan 30 yard pass from Alex Smith (David Akers kick),10,23
7,3.0,2:58,49ers,Vernon Davis 9 yard pass from Alex Smith (David Akers kick),17,23
8,4.0,3:00,49ers,Frank Gore 12 yard rush (David Akers kick),24,23
