,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,7:31,Jaguars,Byron Leftwich 4 yard rush (Josh Scobee kick),7,0
1,2.0,11:42,Colts,Terrence Wilkins 82 yard punt return (Martin Gramatica kick),7,7
2,3.0,11:55,Colts,Dallas Clark 30 yard pass from Peyton Manning (Martin Gramatica kick),7,14
3,4.0,8:30,Colts,Peyton Manning 2 yard rush (Martin Gramatica kick),7,21
4,4.0,3:32,Jaguars,Maurice Jones-Drew 7 yard pass from Byron Leftwich (Josh Scobee kick),14,21
