,Quarter,Tm,Detail,KAN,DET
0,1.0,Lions,David Hill 10 yard pass from Eric Hipple (Eddie Murray kick),0,7
1,1.0,Chiefs,Billy Jackson 4 yard rush (Nick Lowery kick),7,7
2,2.0,Lions,Eddie Murray 34 yard field goal,7,10
3,2.0,Lions,Freddie Scott 40 yard pass from Eric Hipple (Eddie Murray kick),7,17
4,3.0,Chiefs,Nick Lowery 33 yard field goal,10,17
5,3.0,Lions,Eddie Murray 46 yard field goal,10,20
6,4.0,Lions,Billy Sims 4 yard rush (Eddie Murray kick),10,27
