,Quarter,Time,Tm,Detail,BUF,ATL
0,1.0,12:48,Falcons,Roddy White 42 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,14:24,Falcons,Matt Bryant 51 yard field goal,0,10
2,3.0,7:33,Falcons,Marty Booker 12 yard pass from Matt Ryan (Matt Bryant kick),0,17
3,3.0,6:06,Falcons,Lawrence Sidbury 11 yard defensive fumble return (Matt Bryant kick),0,24
4,3.0,1:58,Bills,Rian Lindell 42 yard field goal,3,24
5,4.0,4:22,Falcons,Roddy White 5 yard pass from Matt Ryan (Matt Bryant kick),3,31
