,Quarter,Tm,Detail,GNB,PHI
0,1.0,Eagles,Steve Van Buren 7 yard rush (Augie Lio kick),0,7
1,2.0,Packers,Ted Fritsch 12 yard pass from Bob Forte (Ted Fritsch kick),7,7
2,3.0,Packers,Ted Fritsch 10 yard rush (Ted Fritsch kick),14,7
3,4.0,Packers,Ted Fritsch 46 yard field goal,17,7
4,4.0,Packers,"Safety, Thompson tackled in zone by Odson",19,7
