,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,,49ers,Jerry Rice 66 yard pass from Steve Young (Wade Richey kick),0,7
1,1.0,,49ers,Marc Edwards 7 yard rush (Wade Richey kick),0,14
2,1.0,,Falcons,Terance Mathis 49 yard pass from Chris Chandler (Morten Andersen kick),7,14
3,2.0,,49ers,J.J. Stokes 3 yard pass from Steve Young (Wade Richey kick),7,21
4,2.0,,49ers,Wade Richey 31 yard field goal,7,24
5,2.0,1:31,49ers,Jerry Rice 26 yard pass from Steve Young (Wade Richey kick),7,31
6,4.0,1:31,Falcons,Jamal Anderson 4 yard rush (Morten Andersen kick),14,31
7,4.0,1:31,Falcons,Terance Mathis 31 yard pass from Chris Chandler,20,31
