,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Rich Szaro 30 yard field goal,3,0
1,2.0,49ers,Ray Wersching 40 yard field goal,3,3
2,2.0,Saints,Clarence Chapman 92 yard kickoff return (Rich Szaro kick),10,3
3,2.0,Saints,Archie Manning 1 yard rush (Rich Szaro kick),17,3
4,2.0,49ers,Wilbur Jackson 34 yard rush (Ray Wersching kick),17,10
5,3.0,49ers,Wilbur Jackson 1 yard rush (Ray Wersching kick),17,17
6,4.0,49ers,Ray Wersching 42 yard field goal,17,20
