,Quarter,Tm,Detail,BUF,SFO
0,1.0,Bills,Scott Norwood 23 yard field goal,3,0
1,3.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),3,7
2,4.0,49ers,Steve Young 2 yard rush (Mike Cofer kick),3,14
3,4.0,49ers,Jerry Rice 8 yard pass from Steve Young (Mike Cofer kick),3,21
4,4.0,Bills,Jim Kelly 1 yard rush (Scott Norwood kick),10,21
