,Quarter,Tm,Detail,CLE,MIA
0,1,Dolphins,Pete Stoyanovich 43 yard field goal,0,3
1,2,Dolphins,Mark Duper 35 yard pass from Dan Marino (Pete Stoyanovich kick),0,10
2,2,Browns,Matt Bahr 50 yard field goal,3,10
3,3,Browns,Eric Metcalf 8 yard rush (Matt Bahr kick),10,10
4,OT,Dolphins,Pete Stoyanovich 35 yard field goal,10,13
