,Quarter,Time,Tm,Detail,MIA,SDG
0,1.0,12:58,Dolphins,Chris Chambers 5 yard pass from Brian Griese (Olindo Mare kick),7,0
1,1.0,8:34,Dolphins,Olindo Mare 44 yard field goal,10,0
2,1.0,3:17,Chargers,Steve Christie 51 yard field goal,10,3
3,2.0,13:28,Dolphins,James McKnight 2 yard pass from Brian Griese (Olindo Mare kick),17,3
4,2.0,1:55,Dolphins,Randy McMichael 7 yard pass from Brian Griese (Olindo Mare kick),24,3
5,4.0,12:27,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),24,10
6,4.0,8:06,Dolphins,"Safety,",26,10
