,Quarter,Tm,Detail,MIN,ATL
0,1.0,Vikings,Fred Cox 40 yard field goal,3,0
1,1.0,Falcons,John Mallory 75 yard punt return (Ken Vinyard kick),3,7
2,2.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),10,7
3,2.0,Vikings,John Beasley 8 yard pass from Gary Cuozzo (Fred Cox kick),17,7
4,2.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),24,7
5,3.0,Vikings,Dave Osborn 28 yard pass from Bob Lee (Fred Cox kick),31,7
6,4.0,Vikings,Fred Cox 15 yard field goal,34,7
7,4.0,Vikings,Fred Cox 37 yard field goal,37,7
