,Quarter,Tm,Detail,NYG,PRV
0,2,Giants,Lynn Bomar 15 yard pass from Jack McBride (Jack McBride kick),7,0
1,3,Steam Roller,Archie Golembeski 20 yard pass from Jack Keefer,7,6
