,Quarter,Tm,Detail,DAL,NYG
0,1,Cowboys,Eddie Murray 32 yard field goal,3,0
1,2,Cowboys,Emmitt Smith 5 yard pass from Troy Aikman (Eddie Murray kick),10,0
2,2,Cowboys,Eddie Murray 38 yard field goal,13,0
3,3,Giants,Jarrod Bunch 1 yard rush (David Treadwell kick),13,7
4,3,Giants,David Treadwell 29 yard field goal,13,10
5,4,Giants,David Treadwell 32 yard field goal,13,13
6,OT,Cowboys,Eddie Murray 41 yard field goal,16,13
