,Quarter,Tm,Detail,NYJ,HOU
0,1.0,Oilers,Teddy Garcia 42 yard field goal,0,3
1,2.0,Jets,Al Toon 42 yard pass from Ken O'Brien (Pat Leahy kick),7,3
2,2.0,Oilers,Teddy Garcia 49 yard field goal,7,6
3,3.0,Oilers,Haywood Jeffires 9 yard pass from Warren Moon,7,12
4,4.0,Jets,Darrell Davis defensive fumble recovery in end zone (Pat Leahy kick),14,12
5,4.0,Jets,Pat Leahy 32 yard field goal,17,12
