,Quarter,Tm,Detail,IND,NWE
0,1.0,Patriots,Tony Franklin 38 yard field goal,0,3
1,2.0,Patriots,Craig James 3 yard rush (Tony Franklin kick),0,10
2,2.0,Colts,Dean Biasucci 25 yard field goal,3,10
3,3.0,Patriots,Stanley Morgan 43 yard pass from Tony Eason (Tony Franklin kick),3,17
4,3.0,Patriots,Tony Franklin 39 yard field goal,3,20
5,4.0,Patriots,Tony Franklin 49 yard field goal,3,23
6,4.0,Patriots,Tony Franklin 25 yard field goal,3,26
7,4.0,Patriots,Johnny Rembert defensive fumble recovery in end zone (Tony Franklin kick),3,33
