,Quarter,Tm,Detail,BKN,FRN
0,2,Dodgers,Stumpy Thomason 25 yard pass from Frosty Peters (Frosty Peters kick),7,0
1,3,Dodgers,Jerry Nemecek 10 yard pass from Jack McBride,13,0
2,4,Dodgers,Dick O'Donnell 10 yard pass from Johnny Scalzi (Jim Mooney kick),20,0
