,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Pat Leahy 38 yard field goal,0,3
1,2.0,Jets,Pat Leahy 20 yard field goal,0,6
2,2.0,Jets,Roger Vick 26 yard rush (Pat Leahy kick),0,13
3,2.0,Dolphins,Pete Stoyanovich 59 yard field goal,3,13
4,2.0,Jets,Freeman McNeil 25 yard pass from Ken O'Brien (Pat Leahy kick),3,20
5,2.0,Dolphins,Andre Brown 8 yard pass from Dan Marino (Pete Stoyanovich kick),10,20
6,3.0,Dolphins,Mark Clayton 78 yard pass from Dan Marino (Pete Stoyanovich kick),17,20
7,3.0,Dolphins,Scott Schwedes 65 yard pass from Dan Marino (Pete Stoyanovich kick),24,20
8,3.0,Dolphins,Sammie Smith 2 yard rush (Pete Stoyanovich kick),31,20
9,4.0,Jets,Pat Leahy 22 yard field goal,31,23
