,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Brooks Williams 24 yard pass from Archie Manning (Benny Ricardo kick),0,7
1,2.0,Eagles,Harold Carmichael 10 yard pass from Ron Jaworski (Tony Franklin kick),7,7
2,2.0,Saints,Wes Chandler 17 yard pass from Archie Manning (Benny Ricardo kick),7,14
3,2.0,Eagles,Tony Franklin 32 yard field goal,10,14
4,2.0,Eagles,Harold Carmichael 6 yard pass from Ron Jaworski (Tony Franklin kick),17,14
5,3.0,Eagles,Harold Carmichael 25 yard pass from Ron Jaworski (Tony Franklin kick),24,14
6,3.0,Saints,Brooks Williams 8 yard pass from Archie Manning (Benny Ricardo kick),24,21
7,4.0,Eagles,Tony Franklin 30 yard field goal,27,21
8,4.0,Eagles,Mike Hogan 2 yard rush (Tony Franklin kick),34,21
