,Quarter,Time,Tm,Detail,STL,CHI
0,1.0,,Bears,Curtis Conway 27 yard pass from Dave Krieg (Jeff Jaeger kick),0,7
1,2.0,,Rams,Chip Lohmiller 25 yard field goal,3,7
2,3.0,,Bears,Rashaan Salaam 3 yard rush (Jeff Jaeger kick),3,14
3,3.0,,Bears,Dave Krieg 1 yard rush (Jeff Jaeger kick),3,21
4,4.0,,Bears,Michael Lowery fumble recovery in end zone (Jeff Jaeger kick),3,28
5,4.0,,Bears,Rashaan Salaam 4 yard rush (Jeff Jaeger kick),3,35
6,4.0,,Rams,Eddie Kennison 19 yard pass from Jamie Martin (pass failed),9,35
