,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Earnest Byner 1 yard rush (pass failed),6,0
1,1.0,Browns,Jeff Jaeger 21 yard field goal,9,0
2,2.0,Browns,Jeff Jaeger 32 yard field goal,12,0
3,2.0,Browns,Kevin Mack 5 yard rush (Jeff Jaeger kick),19,0
4,2.0,Browns,Webster Slaughter 27 yard pass from Bernie Kosar (Jeff Jaeger kick),26,0
5,3.0,Browns,Earnest Byner 17 yard rush (Jeff Jaeger kick),33,0
6,3.0,Oilers,Ernest Givins 83 yard pass from Warren Moon (Tony Zendejas kick),33,7
7,3.0,Browns,Gerald McNeil 39 yard pass from Bernie Kosar (Jeff Jaeger kick),40,7
