,Quarter,Tm,Detail,DEN,HOU
0,1,Broncos,Jim Turner 31 yard field goal,3,0
1,2,Oilers,Fred Willis 14 yard rush (Skip Butler kick),3,7
2,3,Oilers,Skip Butler 18 yard field goal,3,10
3,4,Oilers,Ronnie Coleman 10 yard rush (Skip Butler kick),3,17
