,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,10:38,Cardinals,Aeneas Williams 103 yard defensive fumble return (Cary Blanchard kick),0,7
1,1.0,7:28,Cardinals,Cary Blanchard 30 yard field goal,0,10
2,1.0,3:18,Redskins,Kris Heppner 35 yard field goal,3,10
3,2.0,8:43,Redskins,Stephen Davis 1 yard rush (run failed),9,10
4,2.0,1:52,Redskins,Kris Heppner 28 yard field goal,12,10
5,3.0,13:44,Cardinals,Michael Pittman 7 yard rush (pass failed),12,16
6,3.0,4:43,Redskins,Kris Heppner 29 yard field goal,15,16
