,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Floyd Turner 26 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Saints,Morten Andersen 45 yard field goal,0,10
2,2.0,Falcons,Andre Rison 24 yard pass from Chris Miller (Norm Johnson kick),7,10
3,2.0,Falcons,Norm Johnson 44 yard field goal,10,10
4,2.0,Saints,Morten Andersen 35 yard field goal,10,13
5,3.0,Falcons,Michael Haynes 20 yard pass from Chris Miller (Norm Johnson kick),17,13
6,4.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),17,20
7,4.0,Falcons,Norm Johnson 36 yard field goal,20,20
8,4.0,Falcons,Michael Haynes 61 yard pass from Chris Miller (Norm Johnson kick),27,20
