,Quarter,Tm,Detail,OAK,SDG
0,2.0,Chargers,Pat Curran 14 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,2.0,Raiders,Dave Casper 6 yard pass from Ken Stabler (Errol Mann kick),7,7
2,2.0,Chargers,Hank Bauer 1 yard rush,7,13
3,4.0,Chargers,Hank Bauer 2 yard rush (Rolf Benirschke kick),7,20
4,4.0,Raiders,Morris Bradshaw 44 yard pass from Ken Stabler (Errol Mann kick),14,20
5,4.0,Raiders,Dave Casper offensive fumble recovery in end zone (Errol Mann kick),21,20
