,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Tommy Davis 50 yard field goal,0,3
1,2.0,Saints,Charlie Durkee 39 yard field goal,3,3
2,2.0,Saints,Charlie Durkee 34 yard field goal,6,3
3,2.0,49ers,Bob Windsor 2 yard pass from John Brodie (Tommy Davis kick),6,10
4,3.0,Saints,Walter Roberts 47 yard pass from Gary Cuozzo (Charlie Durkee kick),13,10
5,3.0,49ers,Dick Witcher 15 yard pass from John Brodie (Tommy Davis kick),13,17
6,4.0,49ers,Tommy Davis 39 yard field goal,13,20
7,4.0,49ers,Ken Willard 2 yard rush (Tommy Davis kick),13,27
