,Quarter,Time,Tm,Detail,IND,TAM
0,1.0,12:54,Colts,Marcus Johnson 46 yard pass from Jacoby Brissett (Chase McLaughlin kick),7,0
1,1.0,6:58,Colts,Chase McLaughlin 50 yard field goal,10,0
2,1.0,1:47,Buccaneers,Jameis Winston 1 yard rush (Matt Gay kick),10,7
3,1.0,1:15,Buccaneers,Mike Evans 61 yard pass from Jameis Winston (Matt Gay kick),10,14
4,2.0,7:47,Colts,Marlon Mack 2 yard rush (Chase McLaughlin kick),17,14
5,2.0,2:47,Colts,Darius Leonard 80 yard interception return (Chase McLaughlin kick),24,14
6,2.0,0:41,Buccaneers,Cameron Brate 3 yard pass from Jameis Winston (Matt Gay kick),24,21
7,2.0,0:03,Colts,Chase McLaughlin 19 yard field goal,27,21
8,3.0,6:05,Colts,Zach Pascal 12 yard pass from Jacoby Brissett (Zach Pascal pass from Jacoby Brissett),35,21
9,3.0,3:24,Buccaneers,Justin Watson 17 yard pass from Jameis Winston (Matt Gay kick),35,28
10,4.0,13:05,Buccaneers,Matt Gay 44 yard field goal,35,31
11,4.0,3:56,Buccaneers,Breshad Perriman 12 yard pass from Jameis Winston (Matt Gay kick),35,38
