,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Billy Howton 38 yard pass from Tobin Rote (Fred Cone kick),0,7
1,1.0,Colts,Alan Ameche 5 yard rush (Bert Rechichar kick),7,7
2,1.0,Colts,Buddy Young 82 yard pass from George Shaw (Bert Rechichar kick),14,7
3,1.0,Colts,Jim Mutscheller 40 yard pass from George Shaw (Bert Rechichar kick),21,7
4,2.0,Packers,Howie Ferguson 1 yard rush (Fred Cone kick),21,14
5,3.0,Packers,Fred Cone 47 yard field goal,21,17
6,4.0,Colts,Bert Rechichar 10 yard field goal,24,17
7,4.0,Packers,Fred Cone 28 yard field goal,24,20
