,Quarter,Tm,Detail,RAM,ATL
0,2.0,Rams,Eric Dickerson 10 yard rush (Mike Lansford kick),7,0
1,2.0,Rams,Henry Ellard 9 yard pass from Jeff Kemp (Mike Lansford kick),14,0
2,2.0,Falcons,Mick Luckhurst 39 yard field goal,14,3
3,2.0,Rams,Henry Ellard 69 yard punt return (Mike Lansford kick),21,3
4,4.0,Rams,Mike Lansford 18 yard field goal,24,3
5,4.0,Falcons,Stacey Bailey 18 yard pass from Steve Bartkowski (Mick Luckhurst kick),24,10
