,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Sid Luckman 40 yard rush (Ray McLean kick),7,0
1,2.0,Cardinals,Paul Christman 1 yard rush (Pat Harder kick),7,7
2,3.0,Cardinals,Babe Dimancheff 35 yard pass from Paul Christman (Pat Harder kick),7,14
3,3.0,Cardinals,Pat Harder 6 yard rush (Pat Harder kick),7,21
4,4.0,Cardinals,Pat Harder 26 yard field goal,7,24
5,4.0,Cardinals,Billy Dewell 6 yard pass from Paul Christman (Pat Harder kick),7,31
