,Quarter,Time,Tm,Detail,DAL,KAN
0,2,14:13,Chiefs,Ryan Succop 47 yard field goal,0,3
1,2,11:00,Chiefs,Mike Vrabel 1 yard pass from Matt Cassel (Ryan Succop kick),0,10
2,2,1:49,Cowboys,Nick Folk 22 yard field goal,3,10
3,3,6:30,Chiefs,Ryan Succop 38 yard field goal,3,13
4,3,1:55,Cowboys,Tashard Choice 36 yard rush (Nick Folk kick),10,13
5,4,11:10,Cowboys,Nick Folk 28 yard field goal,13,13
6,4,2:16,Cowboys,Miles Austin 59 yard pass from Tony Romo (Nick Folk kick),20,13
7,4,0:24,Chiefs,Dwayne Bowe 16 yard pass from Matt Cassel (Ryan Succop kick),20,20
8,OT,8:22,Cowboys,Miles Austin 60 yard pass from Tony Romo,26,20
