,Quarter,Tm,Detail,TAM,NYG
0,1.0,Giants,Eric Schubert 24 yard field goal,0,3
1,1.0,Buccaneers,Donald Igwebuike 53 yard field goal,3,3
2,2.0,Buccaneers,Jimmie Giles 25 yard pass from Steve DeBerg (Donald Igwebuike kick),10,3
3,2.0,Giants,Eric Schubert 36 yard field goal,10,6
4,2.0,Buccaneers,Donald Igwebuike 20 yard field goal,13,6
5,3.0,Giants,Joe Morris 3 yard rush (Eric Schubert kick),13,13
6,3.0,Giants,Eric Schubert 24 yard field goal,13,16
7,4.0,Giants,Eric Schubert 41 yard field goal,13,19
8,4.0,Giants,Eric Schubert 33 yard field goal,13,22
9,4.0,Buccaneers,Jimmie Giles 1 yard pass from Steve DeBerg (Donald Igwebuike kick),20,22
