,Quarter,Tm,Detail,PIT,HOU
0,1.0,Oilers,Ken Burrough 44 yard pass from Ronnie Coleman (Toni Fritsch kick),0,7
1,1.0,Steelers,Roy Gerela 27 yard field goal,3,7
2,2.0,Steelers,Rocky Bleier 1 yard rush (Roy Gerela kick),10,7
3,3.0,Oilers,Toni Fritsch 27 yard field goal,10,10
4,3.0,Oilers,Billy Johnson 51 yard pass from Dan Pastorini (Toni Fritsch kick),10,17
5,4.0,Oilers,Greg Stemrick 5 yard defensive fumble return (Toni Fritsch kick),10,24
6,4.0,Oilers,Toni Fritsch 18 yard field goal,10,27
