,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,Max Zendejas 44 yard field goal,3,0
1,2.0,Buccaneers,Donald Igwebuike 45 yard field goal,3,3
2,2.0,Buccaneers,Kevin Murphy 35 yard interception return (Donald Igwebuike kick),3,10
3,2.0,Packers,Ed West 14 yard pass from Randy Wright (Max Zendejas kick),10,10
4,3.0,Packers,Brent Fullwood 1 yard rush (Max Zendejas kick),17,10
5,4.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),17,17
6,4.0,Packers,Randy Wright 1 yard rush (Max Zendejas kick),24,17
7,4.0,Buccaneers,Bruce Hill 19 yard pass from Vinny Testaverde (Donald Igwebuike kick),24,24
8,4.0,Buccaneers,Donald Igwebuike 44 yard field goal,24,27
