,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,14:38,Chiefs,Jamaal Charles 49 yard pass from Alex Smith (Ryan Succop kick),7,0
1,1.0,11:05,Raiders,Sebastian Janikowski 34 yard field goal,7,3
2,1.0,7:27,Chiefs,Jamaal Charles 39 yard pass from Alex Smith (Ryan Succop kick),14,3
3,1.0,5:07,Chiefs,Eric Berry 47 yard interception return (Ryan Succop kick),21,3
4,2.0,14:40,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),21,10
5,2.0,8:59,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),28,10
6,2.0,5:42,Chiefs,Jamaal Charles 16 yard pass from Alex Smith (Ryan Succop kick),35,10
7,2.0,3:00,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),35,17
8,3.0,12:01,Raiders,Andre Holmes 6 yard pass from Matt McGloin (Sebastian Janikowski kick),35,24
9,3.0,4:56,Raiders,Mychal Rivera 14 yard pass from Matt McGloin (Sebastian Janikowski kick),35,31
10,3.0,3:34,Chiefs,Jamaal Charles 71 yard pass from Alex Smith (Ryan Succop kick),42,31
11,3.0,1:20,Chiefs,Sean McGrath 6 yard pass from Alex Smith (Ryan Succop kick),49,31
12,4.0,8:19,Chiefs,Knile Davis 17 yard rush (Ryan Succop kick),56,31
