,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Ian Sunter 23 yard field goal,3,0
1,2.0,Oilers,Toni Fritsch 33 yard field goal,3,3
2,3.0,Oilers,Earl Campbell 55 yard rush (Toni Fritsch kick),3,10
3,3.0,Oilers,Toni Fritsch 46 yard field goal,3,13
4,4.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),3,20
5,4.0,Oilers,Toni Fritsch 30 yard field goal,3,23
