,Quarter,Tm,Detail,SDG,MIA
0,2.0,Dolphins,Tony Paige 1 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,2.0,Dolphins,Keith Jackson 9 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,2.0,Dolphins,Keith Jackson 30 yard pass from Dan Marino (Pete Stoyanovich kick),0,21
3,4.0,Dolphins,Pete Stoyanovich 22 yard field goal,0,24
4,4.0,Dolphins,Aaron Craver 25 yard rush (Pete Stoyanovich kick),0,31
