,Quarter,Time,Tm,Detail,TEN,DEN
0,1.0,12:37,Titans,Shonn Greene 1 yard rush (Rob Bironas kick),7,0
1,1.0,7:28,Broncos,Wes Welker 1 yard pass from Peyton Manning (Matt Prater kick),7,7
2,1.0,7:01,Titans,Chris Johnson 3 yard rush (Rob Bironas kick),14,7
3,1.0,0:25,Broncos,Matt Prater 25 yard field goal,14,10
4,2.0,6:58,Titans,Shonn Greene 28 yard rush (Rob Bironas kick),21,10
5,2.0,1:50,Broncos,Julius Thomas 8 yard pass from Peyton Manning (Matt Prater kick),21,17
6,2.0,0:00,Broncos,Matt Prater 64 yard field goal,21,20
7,3.0,11:52,Broncos,Demaryius Thomas 4 yard pass from Peyton Manning (Matt Prater kick),21,27
8,3.0,7:34,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),21,34
9,3.0,4:50,Titans,Justin Hunter 41 yard pass from Ryan Fitzpatrick (Rob Bironas kick),28,34
10,4.0,13:15,Broncos,Matt Prater 19 yard field goal,28,37
11,4.0,9:12,Broncos,Eric Decker 20 yard pass from Peyton Manning (Matt Prater kick),28,44
12,4.0,3:07,Broncos,Montee Ball 5 yard rush (Matt Prater kick),28,51
