,Quarter,Time,Tm,Detail,GNB,NYG
0,1.0,11:04,Packers,Bill Schroeder 26 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,8:33,Packers,Ahman Green 25 yard rush (Ryan Longwell kick),14,0
2,1.0,3:43,Giants,Ike Hilliard 8 yard pass from Kerry Collins (Morten Andersen kick),14,7
3,2.0,11:54,Giants,Morten Andersen 27 yard field goal,14,10
4,2.0,0:00,Packers,Ryan Longwell 44 yard field goal,17,10
5,3.0,12:07,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),24,10
6,3.0,7:52,Packers,Ryan Longwell 43 yard field goal,27,10
7,3.0,4:35,Packers,Corey Bradford 54 yard pass from Brett Favre (Ryan Longwell kick),34,10
8,4.0,12:45,Giants,Tiki Barber 10 yard rush (Morten Andersen kick),34,17
9,4.0,2:50,Giants,Ron Dayne 1 yard rush (Ron Dayne run),34,25
