,Quarter,Time,Tm,Detail,DEN,IND
0,1.0,9:06,Colts,Austin Collie 5 yard pass from Peyton Manning (Matt Stover kick),0,7
1,1.0,5:04,Colts,Dallas Clark 10 yard pass from Peyton Manning (Matt Stover kick),0,14
2,2.0,7:58,Colts,Dallas Clark 1 yard pass from Peyton Manning (Matt Stover kick),0,21
3,2.0,2:23,Broncos,Brandon Marshall 5 yard pass from Kyle Orton (Matt Prater kick),7,21
4,4.0,14:50,Broncos,Matt Prater 28 yard field goal,10,21
5,4.0,9:44,Broncos,Brandon Marshall 5 yard pass from Kyle Orton (run failed),16,21
6,4.0,2:25,Colts,Dallas Clark 1 yard pass from Peyton Manning (Matt Stover kick),16,28
