,Quarter,Tm,Detail,OAK,RAM
0,1.0,Rams,John Cappelletti 1 yard rush (Rafael Septien kick),0,7
1,2.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),7,7
2,3.0,Rams,Rafael Septien 21 yard field goal,7,10
3,4.0,Rams,Rafael Septien 44 yard field goal,7,13
4,4.0,Raiders,Dave Casper 21 yard pass from Ken Stabler (Errol Mann kick),14,13
5,4.0,Rams,Harold Jackson 43 yard pass from Pat Haden (Rafael Septien kick),14,20
