,Quarter,Time,Tm,Detail,SEA,DET
0,1.0,5:30,Seahawks,Stephen Hauschka 23 yard field goal,3,0
1,1.0,0:00,Lions,Ryan Broyles 6 yard pass from Matthew Stafford (Jason Hanson kick),3,7
2,2.0,14:43,Seahawks,Marshawn Lynch 77 yard rush (Stephen Hauschka kick),10,7
3,2.0,11:39,Seahawks,Sidney Rice 9 yard pass from Russell Wilson (Stephen Hauschka kick),17,7
4,2.0,8:49,Lions,Titus Young 46 yard pass from Matthew Stafford (Jason Hanson kick),17,14
5,4.0,11:35,Lions,Matthew Stafford 1 yard rush (Jason Hanson kick),17,21
6,4.0,5:27,Seahawks,Zach Miller 16 yard pass from Russell Wilson (Stephen Hauschka kick),24,21
7,4.0,0:20,Lions,Titus Young 1 yard pass from Matthew Stafford (Jason Hanson kick),24,28
