,Quarter,Tm,Detail,MIN,WAS
0,1.0,Redskins,Kelvin Bryant 42 yard pass from Doug Williams (Ali Haji-Sheikh kick),0,7
1,2.0,Vikings,Leo Lewis 23 yard pass from Wade Wilson (Chuck Nelson kick),7,7
2,3.0,Redskins,Ali Haji-Sheikh 28 yard field goal,7,10
3,4.0,Vikings,Chuck Nelson 18 yard field goal,10,10
4,4.0,Redskins,Gary Clark 7 yard pass from Doug Williams (Ali Haji-Sheikh kick),10,17
