,Quarter,Tm,Detail,NYG,DAL
0,2.0,Giants,Frank Gifford 2 yard rush (Don Chandler kick),7,0
1,2.0,Cowboys,Dick Van Raaphorst 19 yard field goal,7,3
2,2.0,Giants,Joe Morrison 12 yard pass from Y.A. Tittle,13,3
3,3.0,Cowboys,Dick Van Raaphorst 16 yard field goal,13,6
4,3.0,Cowboys,Don Meredith 10 yard rush (Dick Van Raaphorst kick),13,13
