,Quarter,Tm,Detail,SFO,DET
0,1.0,49ers,Tommy Davis 31 yard field goal,3,0
1,1.0,49ers,Dave Wilcox 8 yard defensive fumble return (Tommy Davis kick),10,0
2,2.0,49ers,Tommy Davis 12 yard field goal,13,0
3,2.0,49ers,Dave Parks 7 yard pass from John Brodie (Tommy Davis kick),20,0
4,3.0,Lions,Amos Marsh 5 yard rush (Wayne Walker kick),20,7
5,4.0,Lions,Pat Studstill 22 yard pass from Milt Plum (Wayne Walker kick),20,14
6,4.0,49ers,Clark Miller 75 yard defensive fumble return (Tommy Davis kick),27,14
7,4.0,Lions,Nick Pietrosante 1 yard rush (Wayne Walker kick),27,21
