,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,Brian Piccolo 25 yard pass from Bobby Douglass (Mac Percival kick),0,7
1,1.0,Bears,"Safety, Hanratty tackled in end zone by OBradovich",0,9
2,1.0,Bears,Gale Sayers 2 yard rush (Mac Percival kick),0,16
3,2.0,Bears,Mac Percival 27 yard field goal,0,19
4,2.0,Bears,Bob Wallace 12 yard pass from Bobby Douglass (Mac Percival kick),0,26
5,2.0,Bears,Mac Percival 35 yard field goal,0,29
6,3.0,Bears,"Safety, Shiner tackled in end zone by Butkus",0,31
7,3.0,Bears,Gale Sayers 1 yard rush (Mac Percival kick),0,38
8,4.0,Steelers,Earl Gros 2 yard rush (Gene Mingo kick),7,38
