,Quarter,Tm,Detail,PHI,MIN
0,1.0,Eagles,Wilbert Montgomery 1 yard rush,6,0
1,2.0,Vikings,Joe Senser 11 yard pass from Tommy Kramer (Rick Danmeier kick),6,7
2,2.0,Eagles,Tony Franklin 30 yard field goal,9,7
3,2.0,Vikings,Sammy White 50 yard pass from Tommy Kramer (Rick Danmeier kick),9,14
4,2.0,Vikings,Bob Bruer 1 yard pass from Tommy Kramer (Rick Danmeier kick),9,21
5,3.0,Vikings,Ahmad Rashad 5 yard pass from Tommy Kramer (Rick Danmeier kick),9,28
6,4.0,Eagles,Wilbert Montgomery 25 yard pass from Ron Jaworski (Tony Franklin kick),16,28
7,4.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),16,35
8,4.0,Eagles,Harold Carmichael 21 yard pass from Ron Jaworski (Tony Franklin kick),23,35
