,Quarter,Tm,Detail,OAK,BAL
0,1.0,Colts,Jim O'Brien 16 yard field goal,0,3
1,2.0,Colts,Norm Bulaich 2 yard rush (Jim O'Brien kick),0,10
2,2.0,Raiders,George Blanda 48 yard field goal,3,10
3,3.0,Raiders,Fred Biletnikoff 38 yard pass from George Blanda (George Blanda kick),10,10
4,3.0,Colts,Jim O'Brien 23 yard field goal,10,13
5,3.0,Colts,Norm Bulaich 11 yard rush (Jim O'Brien kick),10,20
6,4.0,Raiders,Warren Wells 15 yard pass from George Blanda (George Blanda kick),17,20
7,4.0,Colts,Ray Perkins 68 yard pass from Johnny Unitas (Jim O'Brien kick),17,27
