,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Gail Cogdill 13 yard pass from Milt Plum (Wayne Walker kick),0,7
1,2.0,Lions,Joe Don Looney 24 yard rush (Wayne Walker kick),0,14
2,2.0,Lions,Tom Nowatzke 2 yard rush (Wayne Walker kick),0,21
3,2.0,Falcons,Ernie Wheelwright 1 yard rush (Lou Kirouac kick),7,21
4,3.0,Falcons,Lou Kirouac 40 yard field goal,10,21
5,4.0,Lions,Tom Nowatzke 7 yard pass from Milt Plum (Wayne Walker kick),10,28
