,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Walter Abercrombie 6 yard rush (Gary Anderson kick),0,7
1,1.0,Steelers,Gary Anderson 45 yard field goal,0,10
2,1.0,Steelers,Mel Blount 3 yard defensive fumble return (Gary Anderson kick),0,17
3,2.0,Chargers,Rolf Benirschke 39 yard field goal,3,17
4,2.0,Steelers,Gary Anderson 30 yard field goal,3,20
5,3.0,Steelers,Gary Anderson 49 yard field goal,3,23
6,4.0,Steelers,Gary Anderson 42 yard field goal,3,26
