,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Joe Walton 10 yard pass from Ralph Guglielmi (Bob Khayat kick),0,7
1,1.0,Cardinals,"Safety, Olszewski tackled in end zone by Fuller",2,7
2,2.0,Cardinals,Sonny Randle 26 yard pass from John Roach (Bobby Joe Conrad kick),9,7
3,2.0,Cardinals,Sonny Randle 7 yard pass from John Roach (Bobby Joe Conrad kick),16,7
4,2.0,Cardinals,Gerry Perry 27 yard field goal,19,7
5,3.0,Cardinals,Sonny Randle 36 yard pass from John Roach (Bobby Joe Conrad kick),26,7
6,4.0,Redskins,Gary Glick defensive fumble recovery in end zone (Bob Khayat kick),26,14
