,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Morten Andersen 23 yard field goal,3,0
1,2.0,Falcons,Ken Tippins 23 yard defensive fumble return,3,6
2,2.0,Saints,Floyd Turner 47 yard pass from Bobby Hebert (Morten Andersen kick),10,6
3,3.0,Saints,Floyd Turner 17 yard pass from Bobby Hebert (Morten Andersen kick),17,6
4,3.0,Saints,Morten Andersen 31 yard field goal,20,6
5,4.0,Saints,Dalton Hilliard 65 yard rush (Morten Andersen kick),27,6
