,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,,Saints,Doug Brien 31 yard field goal,3,0
1,1.0,,Saints,Doug Brien 53 yard field goal,6,0
2,2.0,,Rams,Lawrence Phillips 1 yard rush (Jeff Wilkins kick),6,7
3,2.0,,Rams,Torrance Small 30 yard pass from Tony Banks (Jeff Wilkins kick),6,14
4,2.0,3:15,Saints,Eric Guliford 102 yard kickoff return (Andre Hastings pass from Heath Shuler),14,14
5,2.0,3:15,Saints,Doug Brien 46 yard field goal,17,14
6,3.0,3:15,Rams,Ernie Conwell 48 yard pass from Tony Banks (Jeff Wilkins kick),17,21
7,3.0,3:15,Rams,Lawrence Phillips 25 yard rush (Jeff Wilkins kick),17,28
8,3.0,3:15,Rams,Lawrence Phillips 5 yard rush (Jeff Wilkins kick),17,35
9,4.0,3:15,Saints,Andre Hastings 30 yard pass from Danny Wuerffel (Doug Brien kick),24,35
10,4.0,3:15,Rams,Jeff Wilkins 36 yard field goal,24,38
