,Quarter,Time,Tm,Detail,JAX,SEA
0,1.0,6:19,Seahawks,Olindo Mare 47 yard field goal,0,3
1,2.0,7:59,Seahawks,Olindo Mare 27 yard field goal,0,6
2,2.0,4:43,Seahawks,T.J. Houshmandzadeh 34 yard pass from Matt Hasselbeck (Olindo Mare kick),0,13
3,2.0,2:08,Seahawks,Nate Burleson 44 yard pass from Matt Hasselbeck (Olindo Mare kick),0,20
4,3.0,10:08,Seahawks,T.J. Houshmandzadeh 13 yard pass from Matt Hasselbeck (Olindo Mare kick),0,27
5,3.0,5:54,Seahawks,Nate Burleson 5 yard pass from Matt Hasselbeck (Olindo Mare kick),0,34
6,4.0,14:01,Seahawks,Nick Reed 79 yard defensive fumble return (Olindo Mare kick),0,41
