,Quarter,Time,Tm,Detail,DEN,LAC
0,1.0,7:00,Chargers,Michael Badgley 46 yard field goal,0,3
1,1.0,0:39,Chargers,Michael Badgley 45 yard field goal,0,6
2,2.0,12:05,Broncos,Phillip Lindsay 41 yard rush (Brandon McManus kick),7,6
3,2.0,2:39,Chargers,Keenan Allen 4 yard pass from Philip Rivers (Michael Badgley kick),7,13
4,3.0,9:56,Chargers,Antonio Gates 6 yard pass from Philip Rivers (Michael Badgley kick failed),7,19
5,3.0,2:24,Broncos,Royce Freeman 3 yard rush (Brandon McManus kick),14,19
6,4.0,12:17,Broncos,Phillip Lindsay 2 yard rush (run failed),20,19
7,4.0,6:47,Chargers,Michael Badgley 30 yard field goal,20,22
8,4.0,0:00,Broncos,Brandon McManus 34 yard field goal,23,22
