,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Chuck Sample 1 yard rush (Don Hutson kick),0,7
1,1.0,Cardinals,Marshall Goldberg 95 yard kickoff return (Bill Daddio kick),7,7
2,1.0,Cardinals,Bill Daddio 19 yard field goal,10,7
3,2.0,Cardinals,Lloyd Cheatham 7 yard pass from Bud Schwenk (Bill Daddio kick),17,7
4,2.0,Packers,Don Hutson 40 yard pass from Cecil Isbell (Don Hutson kick),17,14
5,2.0,Packers,Don Hutson 73 yard pass from Cecil Isbell (Don Hutson kick),17,21
6,3.0,Packers,Andy Uram 64 yard pass from Cecil Isbell (Don Hutson kick),17,28
7,3.0,Packers,Bob Ingalls 23 yard interception return,17,34
8,4.0,Packers,Don Hutson 65 yard pass from Cecil Isbell (Don Hutson kick),17,41
9,4.0,Packers,Andy Uram 36 yard pass from Cecil Isbell (Don Hutson kick),17,48
10,4.0,Packers,Andy Uram 62 yard pass from Joe Laws (Andy Uram kick),17,55
11,4.0,Cardinals,Bud Schwenk 28 yard rush (Steve Lach kick),24,55
