,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Joe Danelo 22 yard field goal,0,3
1,1.0,Eagles,Wilbert Montgomery 53 yard pass from Ron Jaworski (Tony Franklin kick),7,3
2,2.0,Giants,Joe Danelo 42 yard field goal,7,6
3,2.0,Eagles,Keith Krepfle 11 yard pass from Ron Jaworski (Tony Franklin kick),14,6
4,3.0,Eagles,Tony Franklin 28 yard field goal,17,6
5,4.0,Giants,Randy Dean 6 yard rush (Joe Danelo kick),17,13
