,Quarter,Time,Tm,Detail,PHI,SDG
0,1.0,7:52,Chargers,Mike Tolbert 20 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,2.0,11:01,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),0,14
2,2.0,6:38,Eagles,David Akers 18 yard field goal,3,14
3,2.0,0:08,Eagles,David Akers 25 yard field goal,6,14
4,3.0,8:01,Chargers,LaDainian Tomlinson 20 yard rush (Nate Kaeding kick),6,21
5,3.0,5:51,Eagles,David Akers 25 yard field goal,9,21
6,3.0,1:13,Chargers,Legedu Naanee 20 yard pass from Philip Rivers (Nate Kaeding kick),9,28
7,4.0,14:12,Eagles,Jeremy Maclin 5 yard pass from Donovan McNabb (David Akers kick),16,28
8,4.0,7:12,Eagles,Brent Celek 6 yard pass from Donovan McNabb (David Akers kick),23,28
9,4.0,0:30,Chargers,Nate Kaeding 29 yard field goal,23,31
