,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Pat Leahy 24 yard field goal,3,0
1,1.0,Colts,Raymond Chester 53 yard pass from Bert Jones,3,6
2,2.0,Colts,Toni Linhart 30 yard field goal,3,9
3,2.0,Colts,Toni Linhart 31 yard field goal,3,12
4,2.0,Colts,Glenn Doughty 33 yard pass from Bert Jones (Toni Linhart kick),3,19
5,3.0,Jets,Pat Leahy 22 yard field goal,6,19
6,3.0,Colts,Lydell Mitchell 28 yard pass from Bert Jones (Toni Linhart kick),6,26
7,4.0,Jets,Jerome Barkum 18 yard pass from Matt Robinson,12,26
8,4.0,Colts,Robert Pratt 21 yard special teams fumble return (Toni Linhart kick),12,33
