,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,,Falcons,Norm Johnson 23 yard field goal,3,0
1,1.0,,Falcons,Andre Rison 4 yard pass from Jeff George (Norm Johnson kick),10,0
2,1.0,11:12,Falcons,Eric Jack 27 yard fumble return (Norm Johnson kick),17,0
3,1.0,11:12,Saints,Morten Andersen 34 yard field goal,17,3
4,2.0,11:12,Falcons,Norm Johnson 33 yard field goal,20,3
5,2.0,11:12,Saints,Irv Smith 17 yard pass from Jim Everett (Morten Andersen kick),20,10
6,2.0,11:12,Falcons,Norm Johnson 33 yard field goal,23,10
7,3.0,11:12,Saints,Mario Bates 9 yard rush (Morten Andersen kick),23,17
8,3.0,11:12,Saints,Mario Bates 4 yard rush (Morten Andersen kick),23,24
9,4.0,11:12,Falcons,Norm Johnson 31 yard field goal,26,24
10,4.0,11:12,Falcons,Norm Johnson 48 yard field goal,29,24
11,4.0,11:12,Saints,Wesley Walls 21 yard pass from Jim Everett (pass failed),29,30
12,4.0,11:12,Falcons,Norm Johnson 30 yard field goal,32,30
13,4.0,11:12,Saints,Morten Andersen 39 yard field goal,32,33
