,Quarter,Tm,Detail,MIN,CIN
0,1,Bengals,Pete Johnson 2 yard rush (Ian Sunter kick),0,7
1,4,Bengals,Don Bass 55 yard pass from Ken Anderson (Ian Sunter kick),0,14
