,Quarter,Tm,Detail,CRD,RAM
0,2.0,Rams,Kenny Washington 31 yard rush (Bob Waterfield kick),0,7
1,2.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),0,14
2,3.0,Rams,Jack Banta 8 yard rush (Bob Waterfield kick),0,21
3,3.0,Cardinals,Babe Dimancheff 5 yard pass from Paul Christman (Pat Harder kick),7,21
4,3.0,Rams,Gil Bouley 32 yard fumble return,7,27
