,Quarter,Tm,Detail,RAM,MIN
0,2.0,Vikings,Fred Cox 22 yard field goal,0,3
1,2.0,Vikings,Paul Flatley 13 yard pass from Fran Tarkenton (Fred Cox kick),0,10
2,2.0,Rams,Marlin McKeever 4 yard pass from Bill Munson (Bruce Gossett kick),7,10
3,3.0,Vikings,Dave Osborn 21 yard rush (Fred Cox kick),7,17
4,4.0,Vikings,Bill Brown 11 yard rush (Fred Cox kick),7,24
5,4.0,Rams,Dick Bass 12 yard rush,13,24
