,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Gary Garrison 63 yard pass from John Hadl (Mike Mercer kick),7,0
1,2.0,Chargers,Mike Mercer 42 yard field goal,10,0
2,2.0,Chargers,Willie Frazier offensive fumble recovery in end zone (Mike Mercer kick),17,0
3,3.0,Broncos,Bobby Howfield 53 yard field goal,17,3
4,4.0,Broncos,Clem Turner 1 yard rush (Bobby Howfield kick),17,10
5,4.0,Broncos,Willis Crenshaw 1 yard rush (Bobby Howfield kick),17,17
