,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,John Carney 24 yard field goal,0,3
1,2.0,Steelers,Adrian Cooper 24 yard pass from Neil O'Donnell (Gary Anderson kick),7,3
2,2.0,Chargers,John Carney 43 yard field goal,7,6
3,4.0,Steelers,Dwight Stone 6 yard pass from Neil O'Donnell,13,6
4,4.0,Steelers,Neil O'Donnell 1 yard rush (Gary Anderson kick),20,6
5,4.0,Steelers,Gary Anderson 42 yard field goal,23,6
